period_end,fiscal_year,fiscal_period,period_type,Revenue,GrossProfit,OperatingIncome,NetIncome,revenue_fact_id,accession_no,filing_url
2026-01-31,2026,Q2,Q,5068000000.0,3745000000.0,706000000.0,766000000.0,7861f4e2d17e1946,0001327567-26-000005,https://www.sec.gov/Archives/edgar/data/1327567/000132756726000005/
2025-01-31,2026,Q2,Q,4396000000.0,3243000000.0,527000000.0,618000000.0,9f64525ff77c11b6,0001327567-26-000005,https://www.sec.gov/Archives/edgar/data/1327567/000132756726000005/
2024-10-31,2026,Q1,Q,2139000000.0,1585000000.0,286000000.0,351000000.0,270cb4bd97a39ca9,0001327567-25-000035,https://www.sec.gov/Archives/edgar/data/1327567/000132756725000035/
2025-10-31,2026,Q1,Q,2474000000.0,1836000000.0,309000000.0,334000000.0,351ccbad86c886a7,0001327567-25-000035,https://www.sec.gov/Archives/edgar/data/1327567/000132756725000035/
2025-04-30,2025,Q3,Q,6685200000.0,4912600000.0,745700000.0,880100000.0,f0dc0834c68e6426,0001327567-25-000017,https://www.sec.gov/Archives/edgar/data/1327567/000132756725000017/
2024-04-30,2025,Q3,Q,5838000000.0,4352500000.0,445500000.0,2219900000.0,a8d39c18e167049e,0001327567-25-000017,https://www.sec.gov/Archives/edgar/data/1327567/000132756725000017/
2024-01-31,2025,Q2,Q,3853200000.0,2881300000.0,268800000.0,1941100000.0,cebf1cc7205b8b5e,0001327567-25-000010,https://www.sec.gov/Archives/edgar/data/1327567/000132756725000010/
2024-10-31,2025,Q1,Q,2138800000.0,1584700000.0,286500000.0,350700000.0,fb84279cd6cae8b5,0001327567-24-000040,https://www.sec.gov/Archives/edgar/data/1327567/000132756724000040/
2023-10-31,2025,Q1,Q,1878100000.0,1405300000.0,215200000.0,194200000.0,46941241651c0459,0001327567-24-000040,https://www.sec.gov/Archives/edgar/data/1327567/000132756724000040/
2023-04-30,2024,Q3,Q,4939400000.0,3536500000.0,133800000.0,212000000.0,10829e58186d6641,0001327567-24-000017,https://www.sec.gov/Archives/edgar/data/1327567/000132756724000017/
2023-01-31,2024,Q2,Q,3218500000.0,2290400000.0,55100000.0,104200000.0,7d19cab148678fcf,0001327567-24-000005,https://www.sec.gov/Archives/edgar/data/1327567/000132756724000005/
2022-10-31,2024,Q1,Q,1563400000.0,1101500000.0,15200000.0,20000000.0,6aa75ad165185d12,0001327567-23-000032,https://www.sec.gov/Archives/edgar/data/1327567/000132756723000032/
