date_key,period_end,fiscal_year,fiscal_quarter,calendar_year,calendar_quarter
2020-10-31,2020-10-31,2022,Q1,2022,3
2021-01-31,2021-01-31,2022,Q2,2022,4
2021-04-30,2021-04-30,2022,Q3,2023,1
2021-07-31,2021-07-31,2022,Q3,2023,1
2021-10-31,2021-10-31,2022,Q1,2022,3
2022-01-31,2022-01-31,2022,Q2,2022,4
2022-04-30,2022-04-30,2022,Q3,2023,1
2022-07-31,2022-07-31,2023,Q3,2024,1
2022-10-31,2022-10-31,2023,Q1,2023,3
2023-01-31,2023-01-31,2023,Q2,2023,4
2023-04-30,2023-04-30,2023,Q3,2024,1
2023-07-31,2023-07-31,2024,Q3,2025,1
2023-10-31,2023-10-31,2024,Q1,2024,3
2024-01-31,2024-01-31,2024,Q2,2024,4
2024-04-30,2024-04-30,2024,Q3,2025,1
2024-07-31,2024-07-31,2025,Q3,2026,1
2024-10-31,2024-10-31,2025,Q1,2025,3
2025-01-31,2025-01-31,2025,Q2,2025,4
2025-04-30,2025-04-30,2025,Q3,2026,1
2025-07-31,2025-07-31,2026,Q1,2026,3
2025-10-31,2025-10-31,2026,Q1,2026,3
2026-01-31,2026-01-31,2026,Q2,2026,4
