accession_no,filing_url,filed_date,form_type
0001327567-21-000040,https://www.sec.gov/Archives/edgar/data/1327567/000132756721000040/,2021-11-19,10-Q
0001327567-22-000008,https://www.sec.gov/Archives/edgar/data/1327567/000132756722000008/,2022-02-23,10-Q
0001327567-22-000016,https://www.sec.gov/Archives/edgar/data/1327567/000132756722000016/,2022-05-20,10-Q
0001327567-22-000038,https://www.sec.gov/Archives/edgar/data/1327567/000132756722000038/,2022-11-18,10-Q
0001327567-23-000006,https://www.sec.gov/Archives/edgar/data/1327567/000132756723000006/,2023-02-22,10-Q
0001327567-23-000014,https://www.sec.gov/Archives/edgar/data/1327567/000132756723000014/,2023-05-24,10-Q
0001327567-23-000032,https://www.sec.gov/Archives/edgar/data/1327567/000132756723000032/,2023-11-17,10-Q
0001327567-24-000005,https://www.sec.gov/Archives/edgar/data/1327567/000132756724000005/,2024-02-21,10-Q
0001327567-24-000017,https://www.sec.gov/Archives/edgar/data/1327567/000132756724000017/,2024-05-21,10-Q
0001327567-24-000040,https://www.sec.gov/Archives/edgar/data/1327567/000132756724000040/,2024-11-21,10-Q
0001327567-25-000010,https://www.sec.gov/Archives/edgar/data/1327567/000132756725000010/,2025-02-14,10-Q
0001327567-25-000017,https://www.sec.gov/Archives/edgar/data/1327567/000132756725000017/,2025-05-21,10-Q
0001327567-25-000035,https://www.sec.gov/Archives/edgar/data/1327567/000132756725000035/,2025-11-20,10-Q
0001327567-26-000005,https://www.sec.gov/Archives/edgar/data/1327567/000132756726000005/,2026-02-18,10-Q
